entrada,saida,formato_completo
"9 atrás, 80 adiante, 5 pra frente",9B80F5F,"[9 atrás, 80 adiante, 5 pra frente → 9B80F5F]"
vá 13cm na frente,13F,[vá 13cm na frente → 13F]
movimente 33 unidades pra trás,33B,[movimente 33 unidades pra trás → 33B]
"siga 59 à esquerda, 12 pra direita e 19 atrás",59L12R19B,"[siga 59 à esquerda, 12 pra direita e 19 atrás → 59L12R19B]"
87 milímetros retroceder,87B,[87 milímetros retroceder → 87B]
realize deslocamento de 50 milímetros para esquerda,50L,[realize deslocamento de 50 milímetros para esquerda → 50L]
"realize movimento triplo: 66 para esquerda, 49 frente, 17 na frente",66L49F17F,"[realize movimento triplo: 66 para esquerda, 49 frente, 17 na frente → 66L49F17F]"
"execute sequência: 33 para esquerda, 100 lado esquerdo, 35 direita",33L100L35R,"[execute sequência: 33 para esquerda, 100 lado esquerdo, 35 direita → 33L100L35R]"
"vai 37 para adiante, 65 para trás e 26 para frente",37F65B26F,"[vai 37 para adiante, 65 para trás e 26 para frente → 37F65B26F]"
"movimenta 90 pra trás, depois 96 adiante, então 84 lado esquerdo e finalmente 65 à frente",90B96F84L65F,"[movimenta 90 pra trás, depois 96 adiante, então 84 lado esquerdo e finalmente 65 à frente → 90B96F84L65F]"
execute movimento de 98 centimetro à frente,98F,[execute movimento de 98 centimetro à frente → 98F]
"primeiro 60 esquerda, então 39 em frente, finalmente 4 frente",60L39F4F,"[primeiro 60 esquerda, então 39 em frente, finalmente 4 frente → 60L39F4F]"
"primeiro 86 frente, depois 4 para atrás",86F4B,"[primeiro 86 frente, depois 4 para atrás → 86F4B]"
proceda 35 centímetro direita,35R,[proceda 35 centímetro direita → 35R]
execute movimento de 12 passos direita,12R,[execute movimento de 12 passos direita → 12R]
"siga 88 para direita, 34 para frente e 79 para frente",88R34F79F,"[siga 88 para direita, 34 para frente e 79 para frente → 88R34F79F]"
mova 37 centimetro recuar,37B,[mova 37 centimetro recuar → 37B]
"50 lado direito, 37 para esquerda",50R37L,"[50 lado direito, 37 para esquerda → 50R37L]"
"primeiro 48 à esquerda, depois 78 para frente",48L78F,"[primeiro 48 à esquerda, depois 78 para frente → 48L78F]"
"sequência completa: 19 metros esquerda, 99 metros para direita, 77 metros do lado direito, 31 metros para a direita",19L99R77R31R,"[sequência completa: 19 metros esquerda, 99 metros para direita, 77 metros do lado direito, 31 metros para a direita → 19L99R77R31R]"
97 centímetros do lado direito,97R,[97 centímetros do lado direito → 97R]
mova 66 milímetros recuar,66B,[mova 66 milímetros recuar → 66B]
move para a esquerda 55 milímetros,55L,[move para a esquerda 55 milímetros → 55L]
21 centímetros na direção frente,21F,[21 centímetros na direção frente → 21F]
"execute sequência: 12 adiante, 92 retroceder, 39 na frente",12F92B39F,"[execute sequência: 12 adiante, 92 retroceder, 39 na frente → 12F92B39F]"
"primeiro 95 voltar, então 7 adiante, finalmente 74 avante",95B7F74F,"[primeiro 95 voltar, então 7 adiante, finalmente 74 avante → 95B7F74F]"
siga 77 centimetro para esquerdo,77L,[siga 77 centimetro para esquerdo → 77L]
mova-se 12 para trás e 51 para atrás,12B51B,[mova-se 12 para trás e 51 para atrás → 12B51B]
navegue 21 passos atrás e 30 passos direita,21B30R,[navegue 21 passos atrás e 30 passos direita → 21B30R]
execute movimento de 61 centimetro avante,61F,[execute movimento de 61 centimetro avante → 61F]
faça movimento do lado direito de 57 unidades,57R,[faça movimento do lado direito de 57 unidades → 57R]
"11 voltar, 25 avante",11B25F,"[11 voltar, 25 avante → 11B25F]"
95 mm atrás,95B,[95 mm atrás → 95B]
"execute sequência: 33 para frente, 63 adiante, 3 para direita",33F63F3R,"[execute sequência: 33 para frente, 63 adiante, 3 para direita → 33F63F3R]"
"faça 71 metros recuar, após isso 93 metros voltar",71B93B,"[faça 71 metros recuar, após isso 93 metros voltar → 71B93B]"
execute 22 do lado esquerdo em seguida 24 para atrás,22L24B,[execute 22 do lado esquerdo em seguida 24 para atrás → 22L24B]
"51 m para retroceder, 30 m para direito",51B30R,"[51 m para retroceder, 30 m para direito → 51B30R]"
movimente-se 39 metros para trás e 73 metros pra esquerda,39B73L,[movimente-se 39 metros para trás e 73 metros pra esquerda → 39B73L]
83 centímetros na direção esquerdo,83L,[83 centímetros na direção esquerdo → 83L]
"movimente 59 milímetros pra direita, após isso 32 milímetros para direita",59R32R,"[movimente 59 milímetros pra direita, após isso 32 milímetros para direita → 59R32R]"
"5 centimetro para esquerda, 85 centimetro para atrás",5L85B,"[5 centimetro para esquerda, 85 centimetro para atrás → 5L85B]"
prossiga 61mm para a esquerda,61L,[prossiga 61mm para a esquerda → 61L]
locomova-se 20mm retroceder,20B,[locomova-se 20mm retroceder → 20B]
movimenta 39centímetros lado esquerdo,39L,[movimenta 39centímetros lado esquerdo → 39L]
"faça 51 centimetros para atrás, depois 59 centimetros lado esquerdo e por fim 97 centimetros para frente",51B59L97F,"[faça 51 centimetros para atrás, depois 59 centimetros lado esquerdo e por fim 97 centimetros para frente → 51B59L97F]"
caminhe 77 para retroceder e 12 para direita,77B12R,[caminhe 77 para retroceder e 12 para direita → 77B12R]
movimente 93 m adiante,93F,[movimente 93 m adiante → 93F]
desloca 71 milímetros para direita,71R,[desloca 71 milímetros para direita → 71R]
faça movimento à direita de 64 centimetros,64R,[faça movimento à direita de 64 centimetros → 64R]
"realize movimento triplo: 55 para direita, 9 na frente, 88 do lado esquerdo",55R9F88L,"[realize movimento triplo: 55 para direita, 9 na frente, 88 do lado esquerdo → 55R9F88L]"
mova-se 37 mm à esquerda na sequência 21 mm pra direita na sequência 73 mm do lado direito,37L21R73R,[mova-se 37 mm à esquerda na sequência 21 mm pra direita na sequência 73 mm do lado direito → 37L21R73R]
prossiga 32 passos do lado esquerdo,32L,[prossiga 32 passos do lado esquerdo → 32L]
execute 68 à esquerda depois 76 esquerda,68L76L,[execute 68 à esquerda depois 76 esquerda → 68L76L]
navegue 98 unidades trás e 66 unidades para trás,98B66B,[navegue 98 unidades trás e 66 unidades para trás → 98B66B]
"65 mm para direito, 80 mm para esquerdo",65R80L,"[65 mm para direito, 80 mm para esquerdo → 65R80L]"
faça movimento em frente de 12 mm,12F,[faça movimento em frente de 12 mm → 12F]
dirija-se em direção a frente 80 metros,80F,[dirija-se em direção a frente 80 metros → 80F]
"sequência completa: 63 milímetros à frente, 10 milímetros atrás, 13 milímetros na frente, 62 milímetros esquerda",63F10B13F62L,"[sequência completa: 63 milímetros à frente, 10 milímetros atrás, 13 milímetros na frente, 62 milímetros esquerda → 63F10B13F62L]"
movimenta 62milímetros voltar,62B,[movimenta 62milímetros voltar → 62B]
28 cm do lado esquerdo,28L,[28 cm do lado esquerdo → 28L]
siga 17passos para direita,17R,[siga 17passos para direita → 17R]
"87 centímetro em direção à trás, 4 centímetro em direção à direita",87B4R,"[87 centímetro em direção à trás, 4 centímetro em direção à direita → 87B4R]"
faça movimento esquerda de 57 centimetro,57L,[faça movimento esquerda de 57 centimetro → 57L]
13 metros para frente,13F,[13 metros para frente → 13F]
"12 centímetro na direção de em frente, 29 centímetro na direção de a esquerda",12F29L,"[12 centímetro na direção de em frente, 29 centímetro na direção de a esquerda → 12F29L]"
"primeiro 17 lado esquerdo, depois 87 para atrás",17L87B,"[primeiro 17 lado esquerdo, depois 87 para atrás → 17L87B]"
realize deslocamento de 29 cm lado direito,29R,[realize deslocamento de 29 cm lado direito → 29R]
"realize movimento triplo: 83 do lado direito, 94 para esquerda, 32 na frente",83R94L32F,"[realize movimento triplo: 83 do lado direito, 94 para esquerda, 32 na frente → 83R94L32F]"
desloque 68 centimetro do lado esquerdo,68L,[desloque 68 centimetro do lado esquerdo → 68L]
realize deslocamento de 1 milímetros para atrás,1B,[realize deslocamento de 1 milímetros para atrás → 1B]
execute movimento de 78 centímetros para direita,78R,[execute movimento de 78 centímetros para direita → 78R]
"realize movimento triplo: 76 atrás, 74 do lado esquerdo, 93 pra direita",76B74L93R,"[realize movimento triplo: 76 atrás, 74 do lado esquerdo, 93 pra direita → 76B74L93R]"
movimente 28 centimetro para atrás,28B,[movimente 28 centimetro para atrás → 28B]
vá 57 em frente e depois 72 à direita,57F72R,[vá 57 em frente e depois 72 à direita → 57F72R]
"faça 14 m à frente, depois 5 m adiante e por fim 23 m para a direita",14F5F23R,"[faça 14 m à frente, depois 5 m adiante e por fim 23 m para a direita → 14F5F23R]"
desloque-se 16 do lado esquerdo e posteriormente 14 à esquerda,16L14L,[desloque-se 16 do lado esquerdo e posteriormente 14 à esquerda → 16L14L]
"13 trás, 57 pra trás, 46 adiante, 98 retroceder",13B57B46F98B,"[13 trás, 57 pra trás, 46 adiante, 98 retroceder → 13B57B46F98B]"
movimente 85 cm lado direito,85R,[movimente 85 cm lado direito → 85R]
desloque 42 m pra frente,42F,[desloque 42 m pra frente → 42F]
"movimente 22 metros na frente, após isso 4 metros para a direita",22F4R,"[movimente 22 metros na frente, após isso 4 metros para a direita → 22F4R]"
faça movimento para trás de 63 unidades,63B,[faça movimento para trás de 63 unidades → 63B]
"navegue 78 trás, 65 para trás e 76 adiante",78B65B76F,"[navegue 78 trás, 65 para trás e 76 adiante → 78B65B76F]"
"primeiro 85 pra esquerda, depois 54 esquerda",85L54L,"[primeiro 85 pra esquerda, depois 54 esquerda → 85L54L]"
"dirija-se 37 avante, depois 77 direita, então 17 à frente e finalmente 42 na frente",37F77R17F42F,"[dirija-se 37 avante, depois 77 direita, então 17 à frente e finalmente 42 na frente → 37F77R17F42F]"
proceda 31 centimetro para atrás,31B,[proceda 31 centimetro para atrás → 31B]
execute movimento de 13 passos à frente,13F,[execute movimento de 13 passos à frente → 13F]
movimenta para direita 33 metros,33R,[movimenta para direita 33 metros → 33R]
mova 6cm pra trás,6B,[mova 6cm pra trás → 6B]
"execute 13 para trás, 26 em frente, 36 lado direito e 72 lado esquerdo",13B26F36R72L,"[execute 13 para trás, 26 em frente, 36 lado direito e 72 lado esquerdo → 13B26F36R72L]"
vá 67 à direita,67R,[vá 67 à direita → 67R]
locomova-se 68 centimetro à frente e 90 centimetro lado esquerdo,68F90L,[locomova-se 68 centimetro à frente e 90 centimetro lado esquerdo → 68F90L]
desloque-se 84 unidades para a esquerda logo após 23 unidades retroceder logo após 20 unidades à direita,84L23B20R,[desloque-se 84 unidades para a esquerda logo após 23 unidades retroceder logo após 20 unidades à direita → 84L23B20R]
vá 49 unidades para direita,49R,[vá 49 unidades para direita → 49R]
vá 95 m à direita então 14 m recuar então 86 m trás,95R14B86B,[vá 95 m à direita então 14 m recuar então 86 m trás → 95R14B86B]
desloque 77 centímetros para frente,77F,[desloque 77 centímetros para frente → 77F]
mova-se pra trás 15 cm,15B,[mova-se pra trás 15 cm → 15B]
27 metros na direção retroceder,27B,[27 metros na direção retroceder → 27B]
vá 56 pra frente,56F,[vá 56 pra frente → 56F]
"primeiro 78 lado esquerdo, então 49 à direita, finalmente 55 para a direita",78L49R55R,"[primeiro 78 lado esquerdo, então 49 à direita, finalmente 55 para a direita → 78L49R55R]"
"64 pra esquerda, 32 do lado direito",64L32R,"[64 pra esquerda, 32 do lado direito → 64L32R]"
movimente-se pra frente 44 passos,44F,[movimente-se pra frente 44 passos → 44F]
mova 53 milímetros para a direita,53R,[mova 53 milímetros para a direita → 53R]
"primeiro 66 à esquerda, então 93 retroceder, finalmente 93 trás",66L93B93B,"[primeiro 66 à esquerda, então 93 retroceder, finalmente 93 trás → 66L93B93B]"
proceda 1 centímetro pra trás,1B,[proceda 1 centímetro pra trás → 1B]
faça movimento pra esquerda de 47 centímetro,47L,[faça movimento pra esquerda de 47 centímetro → 47L]
desloque 10 centimetros recuar,10B,[desloque 10 centimetros recuar → 10B]
"realize movimento triplo: 59 recuar, 30 avante, 40 frente",59B30F40F,"[realize movimento triplo: 59 recuar, 30 avante, 40 frente → 59B30F40F]"
3 unidades na direção frente,3F,[3 unidades na direção frente → 3F]
execute movimento de 99 centimetro à frente,99F,[execute movimento de 99 centimetro à frente → 99F]
"avance 90 para esquerda, 92 para frente e 52 para direito",90L92F52R,"[avance 90 para esquerda, 92 para frente e 52 para direito → 90L92F52R]"
vá 80 centímetro pra direita,80R,[vá 80 centímetro pra direita → 80R]
"realize movimento triplo: 8 lado esquerdo, 83 pra direita, 44 na frente",8L83R44F,"[realize movimento triplo: 8 lado esquerdo, 83 pra direita, 44 na frente → 8L83R44F]"
mova 30 mm lado esquerdo,30L,[mova 30 mm lado esquerdo → 30L]
ande 51 passos trás,51B,[ande 51 passos trás → 51B]
54 centimetro na direção a direita,54R,[54 centimetro na direção a direita → 54R]
proceda 47 centímetros recuar,47B,[proceda 47 centímetros recuar → 47B]
faça movimento do lado esquerdo de 18 passos,18L,[faça movimento do lado esquerdo de 18 passos → 18L]
"faça 9 passos para esquerda, depois 80 passos na frente e por fim 76 passos à esquerda",9L80F76L,"[faça 9 passos para esquerda, depois 80 passos na frente e por fim 76 passos à esquerda → 9L80F76L]"
"desloca 95 avante, depois 66 adiante, então 61 trás e finalmente 30 à esquerda",95F66F61B30L,"[desloca 95 avante, depois 66 adiante, então 61 trás e finalmente 30 à esquerda → 95F66F61B30L]"
realize deslocamento de 6 cm atrás,6B,[realize deslocamento de 6 cm atrás → 6B]
"66 centimetro na direção de adiante, 33 centimetro na direção de esquerda",66F33L,"[66 centimetro na direção de adiante, 33 centimetro na direção de esquerda → 66F33L]"
mova 83 cm para direita e 70 cm pra frente,83R70F,[mova 83 cm para direita e 70 cm pra frente → 83R70F]
vá 51 centimetro recuar e 89 centimetro para atrás,51B89B,[vá 51 centimetro recuar e 89 centimetro para atrás → 51B89B]
mova 44 centímetro direita,44R,[mova 44 centímetro direita → 44R]
"faça 89 centimetros pra esquerda, depois 58 centimetros pra frente e por fim 2 centimetros para frente",89L58F2F,"[faça 89 centimetros pra esquerda, depois 58 centimetros pra frente e por fim 2 centimetros para frente → 89L58F2F]"
"locomova-se 7 para atrás, 100 para trás e 50 para esquerda",7B100B50L,"[locomova-se 7 para atrás, 100 para trás e 50 para esquerda → 7B100B50L]"
desloca 77 recuar e depois 22 voltar,77B22B,[desloca 77 recuar e depois 22 voltar → 77B22B]
vá 63 para a direita,63R,[vá 63 para a direita → 63R]
"realize movimento triplo: 25 na frente, 85 esquerda, 82 em frente",25F85L82F,"[realize movimento triplo: 25 na frente, 85 esquerda, 82 em frente → 25F85L82F]"
"primeiro 66 para atrás, depois 29 atrás",66B29B,"[primeiro 66 para atrás, depois 29 atrás → 66B29B]"
"primeiro 87 atrás, depois 66 retroceder",87B66B,"[primeiro 87 atrás, depois 66 retroceder → 87B66B]"
"vá 5 para a direita, 44 à frente e 71 pra direita",5R44F71R,"[vá 5 para a direita, 44 à frente e 71 pra direita → 5R44F71R]"
faça movimento para esquerda de 85 unidades,85L,[faça movimento para esquerda de 85 unidades → 85L]
move 61 mm para esquerda,61L,[move 61 mm para esquerda → 61L]
movimenta 2 passos para retroceder,2B,[movimenta 2 passos para retroceder → 2B]
desloque-se 48 m para direito,48R,[desloque-se 48 m para direito → 48R]
movimente 66 centímetro lado direito,66R,[movimente 66 centímetro lado direito → 66R]
desloque 16 m na frente,16F,[desloque 16 m na frente → 16F]
navegue lado direito 9 passos,9R,[navegue lado direito 9 passos → 9R]
19 mm para esquerda,19L,[19 mm para esquerda → 19L]
20 unidades trás,20B,[20 unidades trás → 20B]
caminhe 13centímetro lado esquerdo,13L,[caminhe 13centímetro lado esquerdo → 13L]
movimente 53 centimetro pra trás,53B,[movimente 53 centimetro pra trás → 53B]
mova-se 64m lado esquerdo,64L,[mova-se 64m lado esquerdo → 64L]
"13 trás, 68 direita, 63 adiante",13B68R63F,"[13 trás, 68 direita, 63 adiante → 13B68R63F]"
"faça 19 milímetros à frente, em seguida 3 milímetros à esquerda",19F3L,"[faça 19 milímetros à frente, em seguida 3 milímetros à esquerda → 19F3L]"
"94 lado direito, 24 pra trás",94R24B,"[94 lado direito, 24 pra trás → 94R24B]"
ande à direita 76 centimetro,76R,[ande à direita 76 centimetro → 76R]
dirija-se 42 metros para a esquerda logo após 72 metros para direita logo após 37 metros voltar,42L72R37B,[dirija-se 42 metros para a esquerda logo após 72 metros para direita logo após 37 metros voltar → 42L72R37B]
desloque 98 passos para a direita,98R,[desloque 98 passos para a direita → 98R]
"faça 86 centimetro para a direita, depois 29 centimetro do lado esquerdo e por fim 59 centimetro avante",86R29L59F,"[faça 86 centimetro para a direita, depois 29 centimetro do lado esquerdo e por fim 59 centimetro avante → 86R29L59F]"
movimenta 64 cm em frente e 94 cm para direita,64F94R,[movimenta 64 cm em frente e 94 cm para direita → 64F94R]
"71 à direita, 86 pra trás, 91 recuar, 75 em frente",71R86B91B75F,"[71 à direita, 86 pra trás, 91 recuar, 75 em frente → 71R86B91B75F]"
proceda 97 metros à frente,97F,[proceda 97 metros à frente → 97F]
movimenta 73 m para a direita,73R,[movimenta 73 m para a direita → 73R]
"1 à direita, 97 pra esquerda, 2 pra trás, 95 para esquerda",1R97L2B95L,"[1 à direita, 97 pra esquerda, 2 pra trás, 95 para esquerda → 1R97L2B95L]"
proceda 42 cm para a esquerda,42L,[proceda 42 cm para a esquerda → 42L]
"76 recuar, 8 para esquerda",76B8L,"[76 recuar, 8 para esquerda → 76B8L]"
proceda 14 mm para esquerda,14L,[proceda 14 mm para esquerda → 14L]
realize movimento de 96 para a esquerda seguido de 43 lado direito,96L43R,[realize movimento de 96 para a esquerda seguido de 43 lado direito → 96L43R]
faça movimento voltar de 9 unidades,9B,[faça movimento voltar de 9 unidades → 9B]
mova-se 91centímetro para direita,91R,[mova-se 91centímetro para direita → 91R]
30 centímetro na direção frente,30F,[30 centímetro na direção frente → 30F]
movimenta 82 para adiante e 1 para trás,82F1B,[movimenta 82 para adiante e 1 para trás → 82F1B]
move em direção à atrás 43 passos,43B,[move em direção à atrás 43 passos → 43B]
"primeiro 14 para atrás, depois 23 à frente",14B23F,"[primeiro 14 para atrás, depois 23 à frente → 14B23F]"
mova-se lado direito 3 metros,3R,[mova-se lado direito 3 metros → 3R]
desloque 20 centimetros pra frente,20F,[desloque 20 centimetros pra frente → 20F]
realize deslocamento de 6 passos em frente,6F,[realize deslocamento de 6 passos em frente → 6F]
"faça 98 centímetros para direita, e 89 centímetros recuar",98R89B,"[faça 98 centímetros para direita, e 89 centímetros recuar → 98R89B]"
move 32 para avante e 46 para retroceder,32F46B,[move 32 para avante e 46 para retroceder → 32F46B]
vá 89 centimetros adiante,89F,[vá 89 centimetros adiante → 89F]
vai avante 28 mm,28F,[vai avante 28 mm → 28F]
"avance 84 para trás, 99 direita e 63 para direita",84B99R63R,"[avance 84 para trás, 99 direita e 63 para direita → 84B99R63R]"
faça movimento recuar de 62 unidades,62B,[faça movimento recuar de 62 unidades → 62B]
movimente-se 97 m para direita e 26 m para a esquerda,97R26L,[movimente-se 97 m para direita e 26 m para a esquerda → 97R26L]
movimente 74 m pra direita,74R,[movimente 74 m pra direita → 74R]
mova 21 centímetro trás,21B,[mova 21 centímetro trás → 21B]
desloque-se na direção de trás 14 centímetros,14B,[desloque-se na direção de trás 14 centímetros → 14B]
"realize movimento triplo: 3 para a direita, 61 lado direito, 43 para direita",3R61R43R,"[realize movimento triplo: 3 para a direita, 61 lado direito, 43 para direita → 3R61R43R]"
vá 17 centimetro recuar,17B,[vá 17 centimetro recuar → 17B]
navegue 37 mm pra esquerda e 66 mm frente,37L66F,[navegue 37 mm pra esquerda e 66 mm frente → 37L66F]
desloque 29 m avante,29F,[desloque 29 m avante → 29F]
"25 para a direita, 7 pra direita, 72 atrás",25R7R72B,"[25 para a direita, 7 pra direita, 72 atrás → 25R7R72B]"
67 m do lado direito,67R,[67 m do lado direito → 67R]
"29 para atrás, 78 para a direita, 99 à direita",29B78R99R,"[29 para atrás, 78 para a direita, 99 à direita → 29B78R99R]"
ande 4mm à frente,4F,[ande 4mm à frente → 4F]
vai voltar 82 unidades,82B,[vai voltar 82 unidades → 82B]
"primeiro 9 atrás, depois 7 para esquerda",9B7L,"[primeiro 9 atrás, depois 7 para esquerda → 9B7L]"
proceda 38 cm recuar,38B,[proceda 38 cm recuar → 38B]
"primeiro 2 à frente, então 4 à direita, finalmente 31 atrás",2F4R31B,"[primeiro 2 à frente, então 4 à direita, finalmente 31 atrás → 2F4R31B]"
mova-se 63 para adiante e 54 para trás,63F54B,[mova-se 63 para adiante e 54 para trás → 63F54B]
"54 à direita, 79 para a esquerda, 14 atrás",54R79L14B,"[54 à direita, 79 para a esquerda, 14 atrás → 54R79L14B]"
vá 69 do lado direito,69R,[vá 69 do lado direito → 69R]
move pra esquerda 23 metros,23L,[move pra esquerda 23 metros → 23L]
avance 69 mm recuar e 48 mm para esquerda e 59 mm pra esquerda,69B48L59L,[avance 69 mm recuar e 48 mm para esquerda e 59 mm pra esquerda → 69B48L59L]
mova 74 passos para atrás,74B,[mova 74 passos para atrás → 74B]
vai 92 voltar e depois 53 à esquerda,92B53L,[vai 92 voltar e depois 53 à esquerda → 92B53L]
locomova-se 73 m esquerda,73L,[locomova-se 73 m esquerda → 73L]
"21 centimetro rumo a direito, 43 centimetro rumo a adiante",21R43F,"[21 centimetro rumo a direito, 43 centimetro rumo a adiante → 21R43F]"
faça movimento avante de 72 unidades,72F,[faça movimento avante de 72 unidades → 72F]
"primeiro 53 para trás, depois 41 trás",53B41B,"[primeiro 53 para trás, depois 41 trás → 53B41B]"
movimente 50 cm para a direita,50R,[movimente 50 cm para a direita → 50R]
22 unidades recuar,22B,[22 unidades recuar → 22B]
desloque-se 87 para direita e depois 77 lado esquerdo,87R77L,[desloque-se 87 para direita e depois 77 lado esquerdo → 87R77L]
mova na frente 90 centimetro,90F,[mova na frente 90 centimetro → 90F]
execute movimento de 4 metros atrás,4B,[execute movimento de 4 metros atrás → 4B]
faça movimento pra trás de 95 unidades,95B,[faça movimento pra trás de 95 unidades → 95B]
dirija-se rumo a esquerdo 41 milímetros,41L,[dirija-se rumo a esquerdo 41 milímetros → 41L]
movimente 69 centimetro pra direita,69R,[movimente 69 centimetro pra direita → 69R]
33 cm adiante,33F,[33 cm adiante → 33F]
"81 metros para esquerdo, 48 metros para retroceder",81L48B,"[81 metros para esquerdo, 48 metros para retroceder → 81L48B]"
"faça 67 unidades lado esquerdo, e 79 unidades para esquerda",67L79L,"[faça 67 unidades lado esquerdo, e 79 unidades para esquerda → 67L79L]"
"primeiro 16 para esquerda, depois 17 pra direita",16L17R,"[primeiro 16 para esquerda, depois 17 pra direita → 16L17R]"
"realize movimento triplo: 62 recuar, 2 para atrás, 53 para esquerda",62B2B53L,"[realize movimento triplo: 62 recuar, 2 para atrás, 53 para esquerda → 62B2B53L]"
proceda 35 passos para esquerda,35L,[proceda 35 passos para esquerda → 35L]
vá 33 centimetros para voltar,33B,[vá 33 centimetros para voltar → 33B]
vá 12 para atrás,12B,[vá 12 para atrás → 12B]
faça movimento na frente de 50 metros,50F,[faça movimento na frente de 50 metros → 50F]
mova-se 50 passos pra direita,50R,[mova-se 50 passos pra direita → 50R]
"movimente 68 metros atrás, após isso 65 metros avante",68B65F,"[movimente 68 metros atrás, após isso 65 metros avante → 68B65F]"
"65 para esquerda, 46 trás, 14 pra direita, 33 frente",65L46B14R33F,"[65 para esquerda, 46 trás, 14 pra direita, 33 frente → 65L46B14R33F]"
vai para direita 32 passos,32R,[vai para direita 32 passos → 32R]
proceda 84 milímetros lado esquerdo,84L,[proceda 84 milímetros lado esquerdo → 84L]
realize deslocamento de 82 milímetros para atrás,82B,[realize deslocamento de 82 milímetros para atrás → 82B]
execute movimento de 7 centímetro pra trás,7B,[execute movimento de 7 centímetro pra trás → 7B]
"76 para frente, 39 trás, 3 do lado direito, 55 à esquerda",76F39B3R55L,"[76 para frente, 39 trás, 3 do lado direito, 55 à esquerda → 76F39B3R55L]"
"movimente 59 unidades avante, após isso 68 unidades em frente",59F68F,"[movimente 59 unidades avante, após isso 68 unidades em frente → 59F68F]"
movimenta em direção à frente 28 centímetro,28F,[movimenta em direção à frente 28 centímetro → 28F]
"faça 57 centímetro recuar, depois 100 centímetro pra frente",57B100F,"[faça 57 centímetro recuar, depois 100 centímetro pra frente → 57B100F]"
"53 para a direita, 90 do lado direito, 15 esquerda",53R90R15L,"[53 para a direita, 90 do lado direito, 15 esquerda → 53R90R15L]"
vá 100 pra esquerda,100L,[vá 100 pra esquerda → 100L]
"faça 98 mm frente, e 86 mm para direita",98F86R,"[faça 98 mm frente, e 86 mm para direita → 98F86R]"
"movimente 42 centímetros pra direita, após isso 97 centímetros pra esquerda",42R97L,"[movimente 42 centímetros pra direita, após isso 97 centímetros pra esquerda → 42R97L]"
desloque-se 39 centimetros pra direita,39R,[desloque-se 39 centimetros pra direita → 39R]
navegue 69 milímetros à frente,69F,[navegue 69 milímetros à frente → 69F]
vá 67 centimetro adiante,67F,[vá 67 centimetro adiante → 67F]
"primeiro 69 voltar, depois 22 retroceder",69B22B,"[primeiro 69 voltar, depois 22 retroceder → 69B22B]"
prossiga 60 unidades para trás,60B,[prossiga 60 unidades para trás → 60B]
desloque-se 65 trás e posteriormente 97 para direita,65B97R,[desloque-se 65 trás e posteriormente 97 para direita → 65B97R]
mova-se 27 mm na frente e 82 mm para a direita,27F82R,[mova-se 27 mm na frente e 82 mm para a direita → 27F82R]
"primeiro 21 direita, então 70 avante, finalmente 47 para atrás",21R70F47B,"[primeiro 21 direita, então 70 avante, finalmente 47 para atrás → 21R70F47B]"
"primeiro 3 recuar, depois 7 avante",3B7F,"[primeiro 3 recuar, depois 7 avante → 3B7F]"
"sequência completa: 52 m pra direita, 40 m frente, 25 m em frente, 70 m esquerda",52R40F25F70L,"[sequência completa: 52 m pra direita, 40 m frente, 25 m em frente, 70 m esquerda → 52R40F25F70L]"
caminhe pra trás 92 unidades,92B,[caminhe pra trás 92 unidades → 92B]
execute 18 lado direito logo após 45 avante,18R45F,[execute 18 lado direito logo após 45 avante → 18R45F]
faça movimento à esquerda de 32 centimetros,32L,[faça movimento à esquerda de 32 centimetros → 32L]
vá 87 à direita,87R,[vá 87 à direita → 87R]
"34 em frente, 44 para atrás",34F44B,"[34 em frente, 44 para atrás → 34F44B]"
"faça 51 m do lado direito, na sequência 95 m pra trás",51R95B,"[faça 51 m do lado direito, na sequência 95 m pra trás → 51R95B]"
desloque-se 64 à direita e posteriormente 20 recuar,64R20B,[desloque-se 64 à direita e posteriormente 20 recuar → 64R20B]
ande em frente 77 mm,77F,[ande em frente 77 mm → 77F]
desloque-se 83 voltar e posteriormente 66 à direita,83B66R,[desloque-se 83 voltar e posteriormente 66 à direita → 83B66R]
execute 95 para a esquerda logo após 66 do lado esquerdo,95L66L,[execute 95 para a esquerda logo após 66 do lado esquerdo → 95L66L]
execute movimento de 15 m à esquerda,15L,[execute movimento de 15 m à esquerda → 15L]
proceda 93 milímetros para a esquerda,93L,[proceda 93 milímetros para a esquerda → 93L]
"realize movimento triplo: 61 recuar, 31 pra direita, 16 frente",61B31R16F,"[realize movimento triplo: 61 recuar, 31 pra direita, 16 frente → 61B31R16F]"
"23 m em direção à esquerda, 88 m em direção à direito",23L88R,"[23 m em direção à esquerda, 88 m em direção à direito → 23L88R]"
realize deslocamento de 55 m pra direita,55R,[realize deslocamento de 55 m pra direita → 55R]
mova 17 milímetros para trás,17B,[mova 17 milímetros para trás → 17B]
realize deslocamento de 11 centímetro do lado direito,11R,[realize deslocamento de 11 centímetro do lado direito → 11R]
"navegue 95 direita, 71 frente e 53 em frente",95R71F53F,"[navegue 95 direita, 71 frente e 53 em frente → 95R71F53F]"
execute movimento de 19 centímetros para frente,19F,[execute movimento de 19 centímetros para frente → 19F]
move 6 centímetros adiante,6F,[move 6 centímetros adiante → 6F]
